entity_id,name,category_raw,address_clean,postcode_digits,county,city_market,lat,lon,website,phones,emails,maps_url,open_status_norm,working_hours,facebook,instagram,whatsapp,youtube,tiktok,linkedin,twitter
LDI1-RO-DE-F3NH-13BR-75,Corina Dent,Clinică de stomatologie,"Bulevardul Tomis 153, Constanta",900647,Constanta,Constanța,44.189968,28.640723,https://corinadent.ro/programare-online/,+40372998511,office@corinadent.ro,https://www.google.com/maps/place/Corina+Dent/data=!4m7!3m6!1s0x40bafab30e5a9913:0x4e5e1969686932ea!8m2!3d44.189968!4d28.640723!16s%2Fg%2F1tdl96mr!19sChIJE5laDrP6ukAR6jJpaGkZXk4?authuser=0&hl=ro&rclk=1,unspecified,,,,,,,,
LDI1-RO-DE-1JGK-B9A0-36,Esra Dental Clinic - Stomatologie Constanta,Clinică de stomatologie,"Bloc AL1, Bulevardul Alexandru Lăpușneanu 111, Constanta",900388,Constanta,Constanța,44.1950288,28.6320575,https://www.esradental.ro/,+40787615403,office@esradental.ro,https://www.google.com/maps/place/Esra+Dental+Clinic+-+Stomatologie+Constanta/data=!4m7!3m6!1s0x40bafaabf913b76b:0xf7afbb6cb606151b!8m2!3d44.1950288!4d28.6320575!16s%2Fg%2F11_shnw6x!19sChIJa7cT-av6ukARGxUGtmy7r_c?authuser=0&hl=ro&rclk=1,open,miercuri: 08–20; joi: 08–20; vineri: 08–20; sâmbătă: Închis; duminică: Închis; luni: 08–20; marți: 08–20,https://www.facebook.com/esradental,https://www.instagram.com/esradental,https://wa.me/40787615403,https://www.youtube.com/channel/UCxa3TPSI6E4Z2YgAEzeEyNw,,,
LDI1-RO-DE-194T-TERA-76,Stomatologie Constanta Diamond Dental,Clinică de stomatologie,"Bloc LV 40, Bulevardul Alexandru Lăpușneanu, Constanta",900396,Constanta,Constanța,44.1938559,28.6322979,https://medicstomatolog-constanta.ro/,+40766559063,contact@medicstomatolog-constanta.ro,https://www.google.com/maps/place/Stomatologie+Constanta+Diamond+Dental/data=!4m7!3m6!1s0x40bafb349cfefe79:0x3679d6766c32df72!8m2!3d44.1938559!4d28.6322979!16s%2Fg%2F11v17_p4kq!19sChIJef7-nDT7ukARct8ybHbWeTY?authuser=0&hl=ro&rclk=1,open,miercuri: 09–15; joi: 13–20; vineri: 09–15; sâmbătă: Închis; duminică: Închis; luni: 13–20; marți: 13–20,https://www.facebook.com/DiamondDentalStomatologieConstanta,https://www.instagram.com/diamonddentalconstanta,,,,https://www.linkedin.com/company/diamond-dental-stomatologie-constanta,
LDI1-RO-DE-1BCP-57DW-94,Life Dental Spa Constanta - Clinica stomatologica laser,Clinică de stomatologie,"Strada Farului 2b, Constanta",900635,Constanta,Constanța,44.1957322,28.6376271,https://www.lifedentalspa.ro/,+40318282274,office@lifedentalspa.ro,https://www.google.com/maps/place/Life+Dental+Spa+Constanta+-+Clinica+stomatologica+laser/data=!4m7!3m6!1s0x40bafbd067f02283:0xbe6d61a90215cc40!8m2!3d44.1957322!4d28.6376271!16s%2Fg%2F11kj0563nz!19sChIJgyLwZ9D7ukARQMwVAqlhbb4?authuser=0&hl=ro&rclk=1,open,,https://www.facebook.com/LifeDentalSpa,https://www.instagram.com/lifedentalspa,https://wa.me/40770647110,https://www.youtube.com/channel/UCa1-jWiZCZ5X-GyvtVtY33g,,,
LDI1-RO-DE-1RV2-097S-38,Dr. Petru - Clinici Stomatologice,Clinică de stomatologie,"Bloc L53A, Bulevardul 1 Decembrie 1918, Constanta",900183,Constanta,Constanța,44.1795183,28.6362236,https://cliniciledrpetru.ro/,+40770204302,drpetruclinicidentare@gmail.com,https://www.google.com/maps/place/Dr.+Petru+-+Clinici+Stomatologice/data=!4m7!3m6!1s0xa8d8c5f8e033616b:0xf03093dc19cb837f!8m2!3d44.1795183!4d28.6362236!16s%2Fg%2F11sm6_jqd3!19sChIJa2Ez4PjF2KgRf4PLGdyTMPA?authuser=0&hl=ro&rclk=1,open,miercuri: 08–20; joi: 08–20; vineri: 08–20; sâmbătă: 08–14; duminică: Închis; luni: 08–20; marți: 08–20,https://www.facebook.com/drpetru,,,,,,
LDI1-RO-DE-ES16-4JXB-67,Leahu Dental Center - Dr. Leahu Teodor - Cabinet Stomatologic Constanta,Clinică de stomatologie,"Bd. Mamaia, 266, Constanta, 900001",900552,Constanta,Constanța,44.2060983,28.6443107,https://leahudental.ro/,+40241549590,office@leahudental.ro,https://www.google.com/maps/place/Leahu+Dental+Center+-+Dr.+Leahu+Teodor+-+Cabinet+Stomatologic+Constanta/data=!4m7!3m6!1s0x40bafaa1e5509ccb:0x4c20c74b41d6f9aa!8m2!3d44.2060983!4d28.6443107!16s%2Fg%2F1hc1y27yz!19sChIJy5xQ5aH6ukARqvnWQUvHIEw?authuser=0&hl=ro&rclk=1,open,miercuri: 09–20; joi: 09–20; vineri: 09–20; sâmbătă: 09–14; duminică: Închis; luni: 09–20; marți: 09–20,,,,,,,
LDI1-RO-DE-198S-PFSY-17,Smiley Dent - Cabinet Dentist Stomatologie Constanta,Clinică de stomatologie,"Bulevardul Aurel Vlaicu 88, Constanta",900007,Constanta,Constanța,44.158585,28.6120683,https://dentist-constanta.ro/,+40724781146,,https://www.google.com/maps/place/Smiley+Dent+-+Cabinet+Dentist+Stomatologie+Constanta/data=!4m7!3m6!1s0x40bae5f223cd472b:0xd4cc00b56c32fc4c!8m2!3d44.158585!4d28.6120683!16s%2Fg%2F11y1m8jfrk!19sChIJK0fNI_LlukARTPwybLUAzNQ?authuser=0&hl=ro&rclk=1,open,miercuri: 09–20; joi: 09–20; vineri: 09–20; sâmbătă: Închis; duminică: Închis; luni: 09–20; marți: 09–20,,,,,,,
LDI1-RO-DE-1D62-8YS9-26,Stomatologie Non Stop Constanta - Menadent,Stomatolog,"Bd Tomis, Nr. 328, bl M2, SC A, Bulevardul Tomis, Constanta",900001,Constanta,Constanța,44.2025408,28.6242893,https://www.menadent.ro/,+40729933044,office@menadent.ro,https://www.google.com/maps/place/Stomatologie+Non+Stop+Constanta+-+Menadent/data=!4m7!3m6!1s0x40baf00f4d055555:0x8229c4c6deb1595f!8m2!3d44.2025408!4d28.6242893!16s%2Fg%2F11fzyqlff9!19sChIJVVUFTQ_wukARX1mx3sbEKYI?authuser=0&hl=ro&rclk=1,open,miercuri: Deschis 24 de ore; joi: Deschis 24 de ore; vineri: Deschis 24 de ore; sâmbătă: Deschis 24 de ore; duminică: Deschis 24 de ore; luni: Deschis 24 de ore; marți: Deschis 24 de ore,https://www.facebook.com/ClinicaDentaraMenadent,https://www.instagram.com/clinicadentaramenadent,,,,,
LDI1-RO-DE-1C1H-8RFT-22,Cabinet stomatologic Constanta - Dental Breeze,Stomatolog,"Str. Mihai Viteazu 40, Constanta",900682,Constanta,Constanța,44.1802083,28.6442603,https://www.dentalbreeze.ro/,+40735245256,office@dentalbreeze.ro,https://www.google.com/maps/place/Cabinet+stomatologic+Constanta+-+Dental+Breeze/data=!4m7!3m6!1s0x40bae53650839923:0x8784744fa1eb29c7!8m2!3d44.1802083!4d28.6442603!16s%2Fg%2F11cs5ryf7l!19sChIJI5mDUDblukARxynroU90hIc?authuser=0&hl=ro&rclk=1,open,miercuri: 12–20; joi: 12–20; vineri: 12–20; sâmbătă: Închis; duminică: Închis; luni: 12–20; marți: 12–20,,,,,,,
LDI1-RO-DE-GSJ6-TRDB-59,Cabinet Stomatologie Dr. Drogeanu Roxana,Stomatolog,"Strada Adamclisi 3, Constanta",900464,Constanta,Constanța,44.2029576,28.6267658,,+40723581848,,https://www.google.com/maps/place/Cabinet+Stomatologie+Dr.+Drogeanu+Roxana/data=!4m7!3m6!1s0x40baf11a98ea8db9:0xe4ab1bea7cfca940!8m2!3d44.2029576!4d28.6267658!16s%2Fg%2F11v6frdm3m!19sChIJuY3qmBrxukARQKn8fOobq-Q?authuser=0&hl=ro&rclk=1,open,miercuri: 13–20; joi: 09–14; vineri: 13–20; sâmbătă: Închis; duminică: Închis; luni: 13–20; marți: 09–14,,,,,,,
